Judul,Author,Genre,Year,Rating
Manajemen Komunikasi Politik & Marketing Politik,"Agus Suyatno, S.Pd, M.M. dan Devita Putri Anjarsari, S.Kom,MM",Marketing,2023.0,5.0
Manajemen Humas Di Sekolah,"Dr. Novan Ardy Wiyani, M.Pd.I",Marketing,2019.0,5.0
Pengantar Teori Manajemen Komunikasi Dan Organisasi,"DR. RIINAWATI, M.PD",Marketing,2019.0,5.0
Komunikasi Korporat & Manajemen Pengetahuan,Dyah Sulistyorini,Marketing,2015.0,5.0
Sistem Manajemen Komunikasi Edisi Revisi,"DR. DEWI K. SOEDARSONO, M.SI. & DRS. LUDWIG SUPARMO, M.SI.",Marketing,2017.0,5.0
"Simulasi & Komunikasi Digital: Bidang Keahlian Teknologi dan Komunikasi, Teknologi dan Rekayasa, Bisnis dan Manajemen SMK/MAK Kelas 10",Sri Wahyuni,Marketing,2018.0,5.0
Manajemen Komunikasi Bisnis,"Dr. Fajar Supanto, S.E., M.Si",Marketing,2022.0,5.0
Manajemen Komunikasi Periklanan,"Prof. Dr. H. M. Maruf Abdullah, SH, MM, MSi",Marketing,2017.0,4.5
"Manajemen Komunikasi Digital Perencanaan, Aktivitas&Evaluasi","Dr. Rulli Nasrullah, M.Si.",Marketing,2021.0,3.0
Manajemen Public Relations & Media Komunikasi Edisi Revisi,Rosady,Marketing,2022.0,4.8
Hbr Guide To Delivering Effective Feedback (Sc),Harvard,Marketing,2016.0,4.5
Storytelling with Data,Cole Nussbaumer Knaflic,Marketing,2015.0,5.0
English for Management 2019,TIM LC UMM,Marketing,2019.0,5.0
"Public Relations, Issue&Crisis Management",Rachmat Kriyantono,Marketing,2015.0,4.0
Communication games untuk pelatihan manajemen,Adi Soenarno,Marketing,2019.0,3.43
Manajemen Pertanyaan,Ikhwan Sopa,Marketing,2011.0,5.0
Manajemen Komunikasi Bisnis,"Dr. Fajar Supanto, S.E., M.Si",Marketing,2022.0,3.0
Komunikasi Bisnis Untuk Mahasiswa Dan Kalangan Umum,"CAHYA PURNAMA ASRI, S.E., M.M.",Marketing,2019.0,5.0
Entrepreneurial Marketing: Compass & Canvas,Hermawan Kertajaya  Hermawan Kartajaya,Marketing,2018.0,5.0
Marketing Bank Syariah 4.0,Bambang Rianto Rustam,Marketing,2024.0,5.0
Islamic Marketing Management : Mengembangkan Bisnis Dengan Hijrah Ke Pemasaran Islami Mengikuti Praktik Rasulullah saw,"V. Rivai ,dkk",Marketing,2017.0,5.0
Instagram Marketing untuk Pemula,Jefferly Helianthusonfri,Marketing,2020.0,4.0
Panduan Lengkap Digital Marketing,"Dr. Feri Sulianta, M.T.",Marketing,2023.0,5.0
Strategi bisnis: Marketing dan manajemen,A.M. Lilik Agung,Marketing,2019.0,4.0
Manajemen Marketing Perhotelan,"Agung Permana Budi, Inunk Nastiti",Marketing,2013.0,3.0
New Content Marketing: Gaya Baru Pemasaran Era Digital,Mukhamad Najib,Marketing,2016.0,3.71
Creating Effective Marketing Plan: Teknik Membuat Rencana Pemasaran Berdasarkan Customer Values & Analisis Kasus,Freddy Rangkuti,Marketing,2018.0,4.29
Marketing Sukses: Ide Cemerlang Seputar Dunia Pemasaran,Aris Marwanto,Marketing,2015.0,3.0
101 Strategi Jitu Pemasaran : Bisnis Pasti Sukses dengan Creative Marketing!,Andrew   Griffiths,Marketing,2011.0,3.5
"Cyber Branding Through Cyber Marketing: Siasat dan Motivasi Sukses Promosi, Penjualan, Branding & Pemasaran Online",Bob Julius Onggo,Marketing,2009.0,3.6
PSIKOTRANSMITER untuk MARKETING,Bambang Prakuso,Marketing,2018.0,3.5
Garis Panduan Perniagaan Jualan Langsung Secara Pemasaran Berbilang Tingkat (Multi-Level Marketing) Menurut Syariah,Jabatan Kemajuan Islam Malaysia (JAKIM),Marketing,2013.0,5.0
Strategic Marketing: Sustaining Lifetime Customer Value,Sofjan Assauri,Marketing,2018.0,5.0
7 Wonders Marketing: Cara-Cara Dahsyat Yang Terlupakan,Rama Nastyaka,Marketing,2020.0,5.0
Dasar-Dasar Marketing Untuk Mahasiswa dan Umum,"Dr. H.C. Hery, S.E., M.Si., Crp, Rsa, Cfrm, Ciisa, Cifrs",Marketing,2022.0,5.0
"Pengembangan Umkm Kebijakan, Strategi, Digital Marketing, Da","Dr. Dindin Abdurohim B.S., S.Sos., M.M., M.Si.",Marketing,2020.0,5.0
Pengantar Manajemen Keuangan Edisi Kedua,Kasmir,Pengantar Manajemen,2016.0,4.9
Manajemen Sumber Daya Manusia,Kasmir,Manajemen Sumber Daya Manusia,2016.0,5.0
Manajemen Perbankan,Kasmir,Perbankan,2015.0,5.0
Analisis laporan keuangan,Kasmir,Laporan Keuangan,2016.0,4.22
Pengantar Manajemen Keuangan,Kasmir,Manajemen Keuangan,2019.0,4.47
Bank dan Lembaga Keuangan Lainnya,"Kasmir, S.E., M.M.",Ekonomi Keuangan,2022.0,4.3
